Arrondissement,Commerces,Culture,Enseignement,Environnement,Qualité de vie,Santé,Sports et loisirs,Sécurité,Transports,Etiquette_GES,Etiquette_DPE,nombre_de_bars,nombre_de_club,Valeur fonciere,Surface reelle bati,Nombre pieces principales,Adresse,prix_m2,Appartement,Maison,lat,long
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,540000.0,27.0,2.0,28 RUE DE RICHELIEU 75001,20000.0,1,0,48.865229,2.336707
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1200000.0,60.0,3.0,11 RUE MONTMARTRE 75001,20000.0,1,0,48.864226,2.345303
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,4150000.0,209.0,7.0,6 RUE DU MONT-THABOR 75001,19856.46,1,0,48.865544,2.329258
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1879518.0,95.0,3.0,22 AV DE L OPERA 75001,19784.4,1,0,48.866134,2.334474
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3300000.0,167.0,7.0,10 QUAI DE LA MEGISSERIE 75001,19760.48,1,0,48.857976,2.344835
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,79000.0,4.0,1.0,43 RUE SAINTE-ANNE 75001,19750.0,1,0,48.866613,2.335626
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,883500.0,45.0,2.0,4 RUE SAINT-ROCH 75001,19633.33,1,0,48.864175,2.331564
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,549550.0,28.0,2.0,217 RUE SAINT-HONORE 75001,19626.79,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1995000.0,102.0,3.0,217 RUE SAINT-HONORE 75001,19558.82,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,983700.0,51.0,2.0,19 PL DAUPHINE 75001,19288.24,1,0,48.856534,2.342057
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,365850.0,19.0,1.0,15 RUE JEAN JACQUES ROUSSEAU 75001,19255.26,1,0,48.862538,2.340445
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,287000.0,15.0,1.0,12 RUE SAINT GERMAIN L AUXERROIS 75001,19133.33,1,0,48.858312,2.344874
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,683000.0,36.0,2.0,16 PL DAUPHINE 75001,18972.22,1,0,48.856787,2.342526
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,244000.0,13.0,1.0,9 RUE DU VINGT-NEUF JUILLET 75001,18769.23,1,0,48.865286,2.330599
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1119240.0,60.0,2.0,72 RUE SAINT-DENIS 75001,18654.0,1,0,48.861735,2.349249
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1566000.0,84.0,4.0,22 AV DE L OPERA 75001,18642.86,1,0,48.866134,2.334474
